para_1,para_2,result,Y_pred,Y_delta
0.027000000000000003,0.171,0.00035645800000000004,0.0006922092273187444,0.00033575122731874436
0.375,0.08,0.958159835,0.9574322809877517,-0.0007275540122483326
0.024,0.139,0.009974743000000001,0.01029290954300619,0.00031816654300618856
0.24,0.149,0.003189392,0.0030818180815393365,-0.00010757391846066356
0.21600000000000003,0.09300000000000001,0.426252787,0.4259134402964199,-0.0003393467035801012
0.133,0.128,0.026527927000000003,0.026542345986603207,1.4418986603204065e-05
0.34700000000000003,0.08900000000000001,0.537656521,0.538206701726548,0.0005501807265479997
0.12,0.114,0.088267544,0.08719684807202702,-0.0010706959279729866
0.345,0.11599999999999999,0.068561376,0.06829181386445801,-0.0002695621355419814
0.174,0.109,0.12627555199999999,0.1289333022909967,0.0026577502909967132
0.42100000000000004,0.10800000000000001,0.12606146,0.1278544102421045,0.0017929502421045185
0.096,0.083,0.863265836,0.8633184383776698,5.260237766979703e-05
0.319,0.121,0.044127132,0.045211035385892676,0.001083903385892676
0.02,0.092,0.487398131,0.4866186760018525,-0.0007794549981475218
0.415,0.158,0.001199076,0.001267017853188814,6.794185318881383e-05
0.21600000000000003,0.11199999999999999,0.100946039,0.09962325308283063,-0.001322785917169375
0.184,0.152,0.002395589,0.0022268705818701464,-0.00016871841812985365
0.428,0.139,0.008588786,0.008934349711650002,0.00034556371165000294
0.33399999999999996,0.156,0.001509511,0.0012335428096446528,-0.0002759681903553473
0.39899999999999997,0.14400000000000002,0.0054408780000000006,0.005443031709611408,2.153709611407359e-06
